species;taxid;taxon_group;angiosperm_group;family;genome_size;genome_Cvalue;ploidy;hcn
Setaria_italica;4555;Liliopsida;Monocot;Poaceae;NA;513;2;9
Silene_latifolia;37657;eudicotyledons;Eudicot;Caryophyllaceae;NA;2641;2;12
Sinapis_alba;3728;eudicotyledons;Eudicot;Brassicaceae;NA;489;3;8
Solanum_lycopersicum;4081;eudicotyledons;NA;Solanaceae;NA;NA;NA;NA
Solanum_melongena;4111;eudicotyledons;Eudicot;Solanaceae;NA;954;2;12
Solanum_pennellii;28526;eudicotyledons;NA;Solanaceae;NA;NA;NA;NA
Solanum_pimpinellifolium;4084;eudicotyledons;NA;Solanaceae;NA;NA;NA;NA
Solanum_tuberosum;4113;eudicotyledons;Eudicot;Solanaceae;NA;856;2;12
Sorghum_bicolor;4558;Liliopsida;Monocot;Poaceae;NA;734;2;10
Spinacia_oleracea;3562;eudicotyledons;Eudicot;Chenopodiaceae;NA;1002;2;6
Stylosanthes_guianensis;62615;eudicotyledons;NA;Fabaceae;NA;NA;NA;NA
Taraxacum_koksaghyz;NA;NA;NA;NA;NA;NA;NA;NA
Theobroma_cacao;3641;eudicotyledons;Eudicot;Malvaceae;NA;416;2;10
Trifolium_pratense;57577;eudicotyledons;Eudicot;Fabaceae;NA;418;2;7
Trifolium_repens;3899;eudicotyledons;Eudicot;Fabaceae;NA;1093;4;8
Trifolium_subterraneum;3900;eudicotyledons;Eudicot;Fabaceae;NA;543;2;8
Triticum_aestivum;4565;Liliopsida;Monocot;Poaceae;NA;16944;6;7
Triticum_dicoccoides;85692;Liliopsida;Monocot;Poaceae;NA;12005;4;7
Triticum_durum;4571;Liliopsida;Monocot;Poaceae;NA;12377;4;7
Triticum_monococcum;4568;Liliopsida;Monocot;Poaceae;NA;6088;2;7
Triticum_sp;4569;Liliopsida;NA;Poaceae;NA;NA;NA;NA
Triticum_turgidum;4571;Liliopsida;Monocot;Poaceae;NA;12005;4;7
Triticum_urartu;4572;Liliopsida;Monocot;Poaceae;NA;4817;2;7
Vaccinium_corymbosum;69266;eudicotyledons;Eudicot;Ericaceae;NA;650;2;12
Vaccinium_macrocarpon;13750;eudicotyledons;NA;Ericaceae;NA;NA;NA;NA
Vanilla_tahitensis;669897;Liliopsida;NA;Orchidaceae;NA;NA;NA;NA
Vicia_faba;3906;eudicotyledons;Eudicot;Fabaceae;NA;13032;2;6
Vigna_angularis;3914;eudicotyledons;Eudicot;Fabaceae;NA;538;2;11
Vigna_mungo;3915;eudicotyledons;Eudicot;Fabaceae;NA;538;2;11
Vigna_radiata;157791;eudicotyledons;Eudicot;Fabaceae;NA;513;NA;NA
Vigna_unguiculata;3917;eudicotyledons;Eudicot;Fabaceae;NA;587;2;11
Vigna_vexillata;59626;eudicotyledons;Eudicot;Fabaceae;NA;562;2;11
Vitis_amurensis;103351;eudicotyledons;Eudicot;Vitaceae;NA;489;2;19
Vitis_cinerea;226012;eudicotyledons;Eudicot;Vitaceae;NA;489;2;19
Vitis_rotundifolia;103349;eudicotyledons;NA;Vitaceae;NA;NA;NA;NA
Vitis_vinifera;29760;eudicotyledons;Eudicot;Vitaceae;NA;416;2;19
Zea_mays;4577;Liliopsida;Monocot;Poaceae;NA;2665;2;10
Ziziphus_jujuba;326968;eudicotyledons;NA;Rhamnaceae;NA;NA;NA;NA
Zoysia_japonica;309978;Liliopsida;Monocot;Poaceae;NA;421;4;10
Zoysia_matrella;38722;Liliopsida;NA;Poaceae;NA;NA;NA;NA
