"id";"valid";"ref";"year";"species";"taxid";"taxon";"taxon_group";"family";"marker_type";"nb_markers";"sex";"crossing";"n_progeny";"n_meiosis";"linkage_map_length";"physical_length";"map_quality";"mapping_function";"accession";"link_genome";"ref_genome";"genome_size";"genome_Cvalue";"ploidy";"hcn";"original_map";"public_database";"ABH_data";"MapMaker_data";"link_data";"doi";"contact"
"NA";"FALSE";"Chen";2007;"Carica_papaya";3649;"Angiosperm";1;"Caricaceae";"NA";707;"NA";"NA";"NA";"NA";"1069.9";"NA";"NA";"NA";"NA";"NA";"NA";372;367;2;9;"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"Carthamus_tinctorius_Bowers2016";"FALSE";"Bowers";2016;"Carthamus_tinctorius";4222;"Angiosperm";1;"Asteraceae";"NA";"NA";"NA";"NA";"NA";"NA";"959.44";"NA";"NA";"NA";"NA";"NA";"NA";"1369.2";1364;2;12;"NA";"NA";"NA";"NA";"https://www.g3journal.org/highwire/filestream/472915/field_highwire_adjunct_files/4/FileS4.xlsx";"https://doi.org/10.1534/g3.115.026690 ";"NA"
"Castanea_mollissima_Kubisiak2013";"FALSE";"Kubisiak";2013;"Castanea_mollissima";60419;"Angiosperm";1;"Fagaceae";"NA";"NA";"NA";"NA";"NA";"NA";743;"NA";"NA";"NA";"NA";"NA";"NA";"833.241";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://static-content.springer.com/esm/art%3A10.1007%2Fs11295-012-0579-3/MediaObjects/11295_2012_579_MOESM5_ESM.xls";"https://doi.org/10.1007/s11295-012-0579-3";"NA"
"NA";"FALSE";"Ji";2019;"Castanea_mollissima";60419;"Angiosperm";1;"Fagaceae";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.3389/fpls.2018.00816";"NA"
"NA";"FALSE";"Sharma";2011;"Catharanthus_roseus";4058;"Angiosperm";1;"Apocynaceae";"NA";"NA";"NA";"NA";"NA";"NA";"1790.4";"NA";"NA";"NA";"NA";"NA";"NA";"2376.5";2372;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
"NA";"FALSE";"Muktar";2019;"Cenchrus_purpureus";154765;"Angiosperm";4;"Poaceae";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1038/s41598-019-43406-0";"NA"
"NA";"FALSE";"Nakazato";2006;"Ceratopteris_richardii";49495;"NA";8;"Pteridaceae";"NA";"NA";"NA";"NA";"NA";"NA";"2178.8";"NA";"NA";"NA";"NA";"NA";"NA";11294;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1534/genetics.106.055624 ";"NA"
"NA";"FALSE";"Maughan";2012;"Chenopodium_quinoa";63459;"Angiosperm";1;"Chenopodiaceae";"NA";"NA";"NA";"NA";"NA";"NA";1404;"NA";"NA";"NA";"NA";"NA";"NA";"1447.44";1447;4;9;"NA";"NA";"NA";"NA";"NA";"doi:10.3835/plantgenome2012.06.0011";"NA"
"NA";"FALSE";"Chen";2010;"Chimonanthus_praecox";13419;"Angiosperm";5;"Calycanthaceae";"NA";"NA";"NA";"NA";"NA";"NA";1801;"NA";"NA";"NA";"NA";"NA";"NA";600;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1016/j.scienta.2009.12.008";"NA"
"NA";"FALSE";"Kathir";2003;"Chlamydomonas_reinhardtii";3055;"NA";"NA";"Chlamydomonadaceae";"NA";"NA";"NA";"NA";"NA";"NA";1000;"NA";"NA";"NA";"NA";"NA";"NA";"120.405";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"https://doi.org/10.1128/EC.2.2.362-379.2003";"NA"
"NA";"FALSE";"Gaur";2015;"Cicer_arietinum";3827;"Angiosperm";1;"Fabaceae";"NA";"NA";"NA";"NA";"NA";"NA";"1083.93";"NA";"NA";"NA";"NA";"NA";"NA";"929.1";929;2;8;"NA";"NA";"NA";"NA";"NA";"NA";"NA"
